,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
87463,2727408_1461,05:16:50,05:16:50,7,2 Springdale NB,1,2,1,1,30.257268,-97.724841,1801 Cesar Chavez/Chicon,False
259071,2731955_5949,05:16:50,05:16:50,17,333 Thaxton EB,1,333,1,1,30.206736,-97.834965,7613 Brodie/Harpers Ferry,False
288854,2732822_6752,05:16:52,05:16:52,8,345 Hancock Center EB,1,345,1,1,30.309535,-97.730392,301 45th/Avenue C,False
96374,2727588_1735,05:16:53,05:16:53,13,20 Springdale NB,0,20,1,1,30.232684,-97.720706,4522 Riverside/Wickersham,False
212500,2730100_4439,05:16:53,05:16:53,19,311 Westgate Transit Center WB,0,311,1,1,30.202351,-97.770825,Stassney/Mira,False
410132,2736572_13819,05:16:53,05:16:53,50,7 William Cannon SB,0,7,1,1,30.208183,-97.750908,4600 Freidrich/St Elmo,False
145841,2729077_3326,05:16:55,05:16:55,11,3 Southpark Meadows SB,0,3,1,1,30.371234,-97.727017,Crossroads Station (SB),False
223486,2730753_4837,05:16:55,05:16:55,19,318 Thaxton EB,0,318,1,1,30.198861,-97.82689,8004 West Gate/Ranch,False
316045,2733706_7667,05:16:57,05:16:57,17,4 Shady EB,1,4,1,1,30.260851,-97.713904,2425 7th/Pedernales,False
264880,2731891_6085,05:17:00,05:17:00,16,333 Oak Hill WB,0,333,1,1,30.192971,-97.777955,110 William Cannon/Circle S,False
450202,2737566_14686,05:17:00,05:17:00,7,803 Domain NB,0,803,1,1,30.261634,-97.758053,Barton Springs Station (NB),False
456585,2737648_14914,05:17:00,05:17:00,6,803 Westgate Transit Center SB,1,803,1,1,30.363467,-97.72905,Ohlen Station (SB),False
271612,2732160_6291,05:17:01,05:17:01,12,335 Exposition WB,0,335,1,1,30.300733,-97.733816,104 38th/Speedway,False
173315,2729529_3666,05:17:07,05:17:07,10,300 Crestview Station NB,1,300,1,1,30.248024,-97.771014,Oltorf West Station (NB),False
335216,2734662_8547,05:17:09,05:17:09,20,5 Tannehill EB,0,5,1,1,30.317281,-97.735373,4800 Sunshine (Criss Cole Rehab),False
228167,2730789_4939,05:17:10,05:17:10,8,318 Westgate Transit Center WB,1,318,1,1,30.167797,-97.79335,305 Slaughter/Alice Mae,False
382949,2736643_13379,05:17:14,05:17:14,9,7 Crestview Station NB,1,7,1,1,30.188891,-97.74529,5803 Pleasant Valley/Village Square,False
394581,2736641_13566,05:17:14,05:17:14,47,7 Airport/Highland NB,1,7,1,1,30.293384,-97.733108,Duval/32nd,False
252594,2731619_5779,05:17:15,05:17:15,12,325 Norwood Transit Center SB,0,325,1,1,30.397885,-97.704866,Metric/Gracy Farms,False
232361,2730992_5041,05:17:20,05:17:20,20,322 Hancock Center NB,1,322,1,1,30.28212,-97.721643,2103 Chicon/21st,False
46806,2726327_0637,05:17:21,05:17:21,47,10 Southpark Meadows SB,0,10,1,1,30.234537,-97.764504,3014 S 1st/Peacock,False
162781,2729316_3519,05:17:23,05:17:23,24,30 Westgate Transit Center SB,1,30,1,1,30.332659,-97.7597,3313 Hancock/Balcones,False
8183,2726088_0110,05:17:25,05:17:25,9,1 William Cannon SB,0,1,1,1,30.38531,-97.68473,Lamar/Northbend,False
202589,2729933_4140,05:17:25,05:17:25,18,310 S. Congress Transit Center WB,1,310,1,1,30.22216,-97.742228,3300 Parker/Timber Ridge,False
135674,2729133_3220,05:17:27,05:17:27,20,3 Arboretum NB,1,3,1,1,30.214491,-97.798856,5701 Menchaca/Whitestone,False
316046,2733706_7667,05:17:28,05:17:28,18,4 Shady EB,1,4,1,1,30.260533,-97.711831,2621 7th/Calles,False
2876,2726197_0039,05:17:29,05:17:29,27,1 Tech Ridge Park & Ride NB,1,1,1,1,30.275587,-97.742558,Capitol Station (NB),False
109558,2727659_1966,05:17:34,05:17:34,30,20 ABIA Airport SB,1,20,1,1,30.267331,-97.747037,Guadalupe/4th,False
223487,2730753_4837,05:17:34,05:17:34,20,318 Thaxton EB,0,318,1,1,30.196581,-97.829043,8204 West Gate/Linnet,False
221471,2730609_4737,05:17:38,05:17:38,4,315 Oak Hill WB,1,315,1,1,30.228725,-97.783791,Ben White/Clawson,False
16415,2726395_0218,05:17:39,05:17:39,33,10 Norwood Transit Center NB,1,10,1,1,30.253611,-97.75294,1001 S 1st/Copeland,False
81389,2727141_1284,05:17:41,05:17:41,23,18 Exposition WB,1,18,1,1,30.278962,-97.742708,Guadalupe/16th Street,False
173316,2729529_3666,05:17:41,05:17:41,11,300 Crestview Station NB,1,300,1,1,30.246668,-97.769395,1401 Oltorf/Thornton,False
247154,2731685_5643,05:17:41,05:17:41,12,325 Tech Ridge Park & Ride NB,1,325,1,1,30.36234,-97.69526,400 Rundberg/Slayton,False
